image,description,features
"women fashion/light green, short dress with lace detailing around the waist and the edges of the sleeves and hem.jpg",cottagecore minimalistic  light green short dress lace ,cottagecore minimalistic light green short
women fashion/black and white gingham checkered A-line dress with a flared skirt.jpg, black white gingham checkered  dress flared ,black white gingham checkered
"women fashion/long, elegant, teal dress with a high slit on one side.jpg",fancy elegant long elegant teal dress high slit one side,fancy elegant long elegant teal dress high slit
women fashion/black top with spaghetti straps and a black skirt adorned with a fringe detail at the hem.jpg,party disco black top spaghetti straps black skirt fringe,party disco black top spaghetti straps black
"women fashion/green dress with a floral pattern, paired with matching green trousers.jpg",ethnic green dress floral pattern paired matching green trousers,ethnic green dress floral pattern paired matching
"women fashion/anarkali suit with a long, olive green kurta adorned with intricate embroidery around the neckline and cuffs, paired with matching fitted trousers.jpg",anarkali suit long olive green kurta  intriate,anarkali suit long olive green
women fashion/fitted black dress that reaches down to mid-calf.jpg, fitted black dress reaches midcalf,fitted black dress
"women fashion/bright red, sequined dress with thin shoulder straps.jpg",party disco bright red sequined dress ,party disco bright red
"women fashion/pink, knee-length dress that sparkles.jpg",elegant party pink kneelength dress sparkles,elegant party pink kneelength
"women fashion/deep burgundy, silky dress with long sleeves and a wrap-style front.jpg",elegant deep burgundy silky dress long sleeves wrapstyle ,elegant deep burgundy silky dress long
"women fashion/form-fitting dress with a vibrant pattern of yellow, blue, and black.jpg", formfitting dress vibrant pattern yellow blue black,formfitting dress vibrant pattern yellow
"women fashion/light blue, sequined dress with a V-neckline, long sleeves.jpg",party light blue sequined dress vneckline long sleeves,party light blue sequined dress vneckline
women fashion/chic and elegant outfit consisting of a pair of high-waisted wide-leg trousers paired with a long-sleeve sheer lace top.jpg,chic elegant highwaisted wideleg trousers longsleeve sheer lace top,chic elegant highwaisted wideleg trousers longsleeve sheer
"women fashion/fluffy, possibly faux fur or eyelash knit sweater with a cropped cut top.jpg", fluffy  faux fur e knit sweater cropped cut top,fluffy faux fur e knit sweater cropped
women fashion/metallic-looking jacket with intricate designs and fringes hanging from the sleeves.jpg,sparkly shimmer metallic jacket intricate fringes hanging sleeves,sparkly shimmer metallic jacket intricate fringes
women fashion/black dress with lace detailing.jpg,elegant black dress lace detailing,elegant black dress
"women fashion/fitted, cream-colored dress with long sheer sleeves.jpg", fitted creamcolored dress long sheer sleeves,fitted creamcolored dress long
"women fashion/one-shoulder, black, sequined dress with fringe detailing at the hem.jpg",sparkly party oneshoulder black sequined dress fringe ,sparkly party oneshoulder black sequined
"women fashion/sparkling, fitted dress with long sleeves.jpg",party sparkling fitted dress long sleeves,party sparkling fitted dress
women fashion/anarkali suit with lavender in color with intricate white patterns throughout the fabric.jpg,anarkali suit lavender color intricate white patterns ,anarkali suit lavender color intricate
women fashion/black floral saree.jpg, black floral saree,black
"women fashion/sparkling, fitted dress.jpeg",party sparkling fitted dress,party sparkling
"women fashion/black double-breasted blazer with gold buttons, paired with a mid-length skirt.jpg",business formal black doublebreasted blazer gold buttons midlength skirt,business formal black doublebreasted blazer gold buttons
women fashion/solid dark blue top and a floral pattern on the bottom.jpg, solid dark blue top floral pattern bottom,solid dark blue top floral
"women fashion/white, intricately detailed top and a flowing dark blue skirt.jpg",elegant ballgown white intricately detailed top flowing dark blue skirt,elegant ballgown white intricately detailed top flowing dark
women fashion/Women-off-the-shoulder-sexy-embroidery-fashion-party-dress-1.png,elegant gold off the shoulders embroidery dress,elegant gold off the shoulders
"women fashion/fitted, ruched dress with a sweetheart neckline and long mesh sleeves.jpg", fitted ruched dress sweetheart neckline long mesh sleeves,fitted ruched dress sweetheart neckline long
"women fashion/long, flowing dress with a full skirt.jpg",ethnic anarkali long flowing dress full skirt,ethnic anarkali long flowing dress
women fashion/sparkling white dress with long sleeves.jpg,party shimmer sparkling white dress long sleeves,party shimmer sparkling white dress
women fashion/classic black slip dress with a midi length.jpg,classic black slip dress midi length,classic black slip dress
"women fashion/one-shoulder, fitted dress that features sequin embellishments and sheer panels.jpg",party one shoulder fitted dress  sequin ,party one shoulder fitted
"women fashion/shiny, silver, wrap-style dress with long sleeves.jpg", shiny silver wrapstyle dress long sleeves,shiny silver wrapstyle dress
"women fashion/short, white, sleeveless dress with thin straps.jpg",party short white sleeveless dress thin straps,party short white sleeveless dress
women fashion/Anarkali suit with a modern twist.jpg, anarkali suit modern twist,anarkali suit
women fashion/flowing green off-shoulder dress.jpg,minimalistic flowing green offshoulder dress,minimalistic flowing green
women fashion/shiny purple sequined dress with a one-shoulder design.jpg,party  shiny purple sequined dress one shoulder ,party shiny purple sequined dress
women fashion/bright red kurta with an intricate patterned design.jpg,ethnic bright red kurta intricate ,ethnic bright red
"women fashion/black, sequined dress with thin shoulder straps.jpg",party sparkly black sequined dress thin shoulder straps,party sparkly black sequined dress thin
"women fashion/strapless, sequined dress that sparkles with multiple colors.jpg",party disco strapless sequined dress sparkles multiple colors,party disco strapless sequined dress sparkles
"women fashion/long, intricately designed dress with full sleeves.jpg",ethnic long intricately designed dress full sleeves,ethnic long intricately designed dress
women fashion/beige top adorned with black dots and a green skirt.jpg, beige top adorned black dots green skirt,beige top adorned black dots
"women fashion/long, elegant blue dress with an off-the-shoulder design with sheer sleeves.jpg", long elegant blue dress off the shoulder design sheer s,long elegant blue dress off the shoulder design
"women fashion/cream-colored, long, open-front coat with wide lapels.jpg",formal neutral creamcolored long openfront coat ,formal neutral creamcolored long
women fashion/red dress adorned with an intricate white pattern.jpg,ethnic red dress intricate white pattern,ethnic red dress intricate
women fashion/black lace bustier top paired with high-waisted black trousers.jpg, black lace bustier top highwaisted black trousers,black lace bustier top highwaisted
women fashion/red velvet sheath midi dress.jpg,elegant red velvet sheath midi dress,elegant red velvet sheath
women fashion/burgundy off-the-shoulder dress with an asymmetrical hemline.jpg, burgundy off the shoulder dress asymmetrical ,burgundy off the shoulder
women fashion/Anarkali suit with fitted bodice with a high neckline.jpg,anarkali fitted bodice high neckline,anarkali fitted bodice
women fashion/l-htdrss7133-honky-tonky-original-imagszfhfghhs2rp.jpeg,blue floral white flowers summer dress,blue floral white flowers
women fashion/sparkling black dress.jpg,party shiny sparkling black dress,party shiny sparkling
women fashion/black off-shoulder dress with belt.jpg,elegant black off shoulder dress belt,elegant black off shoulder
women fashion/glamorous two-piece outfit featuring a sequined design.jpeg,party shiny shimmering glamorous dress sequined design,party shiny shimmering glamorous dress
women fashion/well-fitted beige suit.jpg,formal neutral beige suit,formal neutral
"women fashion/anarkali suit with intricate silver embellishments on the neckline, sleeves.jpg",ethnic anarkali suit intricate silver neckline sleeves,ethnic anarkali suit intricate silver
women fashion/royal blue off-shoulder dress.jpg,elegant royal blue off shoulder dress,elegant royal blue off
"women fashion/ark green, knee-length dress with short sleeves and a white, patterned neckline.jpg",party ark green kneelength dress short sleeves white patterned neckline,party ark green kneelength dress short sleeves white
women fashion/colorful saree.jpg,ethnic colorful saree,ethnic
"women fashion/fitted, short, yellow dress with short sleeves.jpeg", fitted short yellow dress short sleeves,fitted short yellow dress
women fashion/white dress adorned with colorful floral patterns.jpg, white dress  colorful floral patterns,white dress colorful
"women fashion/long, flowing, pink dress with a sparkly texture.jpg",elegant long flowing pink dress sparkly ,elegant long flowing pink
women fashion/vibrant blue and a neutral tone adorned with colorful floral patterns.jpg,ethnic vibrant blue ,ethnic
"women fashion/sparkling, fitted dress 2.jpeg", sparkling fitted dress,sparkling
women fashion/black short dress with lace.jpg,black short dress,bold trendy lace
women fashion/tight green sequined short dress sparkles.jpg,sparkling fitted dress,green sparkling playful
